,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq,monthcount
192,J63A,CI,2012-01-01,18.4,0.335572914843,34.5,0.0,0.0,0.0,47.0,8890.0
193,J63A,CI,2012-01-01,18.4,0.311623358137,28.5,,350.0,3.93700787402,47.0,8890.0
194,J63A,CI,2012-01-01,21.2,0.315288031709,14.5,,39.0,0.438695163105,47.0,8890.0
195,J63A,CI,2012-02-01,18.0,0.313061516153,39.5,0.0,0.0,0.0,40.0,4807.0
196,J63A,CI,2012-02-01,18.0,0.289225975108,32.5,,218.0,4.53505304764,40.0,4807.0
197,J63A,CI,2012-02-01,18.4,0.0,28.5,0.0,0.0,0.0,40.0,4807.0
198,J63A,CI,2012-02-01,18.4,0.303565782592,18.5,,28.0,0.582483877678,40.0,4807.0
199,J63A,CI,2012-02-01,21.2,0.194521467952,15.5,,53.0,1.10255876846,40.0,4807.0
200,J63A,CI,2012-03-01,18.0,0.286018370704,32.5,0.0,0.0,0.0,50.0,4368.0
201,J63A,CI,2012-03-01,18.0,0.287666696402,29.5,0.0,0.0,0.0,50.0,4368.0
202,J63A,CI,2012-03-01,18.4,0.0,20.5,0.0,0.0,0.0,50.0,4368.0
203,J63A,CI,2012-03-01,17.6,0.0,19.5,0.0,0.0,0.0,50.0,4368.0
204,J63A,CI,2012-03-01,20.8,0.284946046498,14.5,,12.0,0.274725274725,50.0,4368.0
205,J23A,CI,2011-11-01,18.0,0.28432866155,31.5,0.0,0.0,0.0,8.0,7016.0
206,J23A,CI,2011-11-01,18.4,0.0,29.5,,0.0,0.0,8.0,7016.0
207,J23A,CI,2011-11-01,21.6,0.0,29.5,,0.0,0.0,8.0,7016.0
208,J23A,CI,2011-11-01,18.0,0.230191255371,16.5,,148.0,2.1094640821,8.0,7016.0
209,J23A,CI,2011-11-01,21.2,0.201668325792,14.5,,225.0,3.20695553022,8.0,7016.0
210,J23A,CI,2011-12-01,18.4,0.342143471839,30.5,0.0,0.0,0.0,87.0,23165.0
211,J23A,CI,2011-12-01,18.8,0.0,27.5,0.0,0.0,0.0,87.0,23165.0
212,J23A,CI,2011-12-01,18.4,0.341403907449,21.5,0.0,0.0,0.0,87.0,23165.0
